Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Predicted Points,Predicted Grade
20,39.5,19.0,4,4,4,16,20.0,0,0,0,26.0,16,4,2,818.1108365347101,B
20,30.0,18.0,3,0,4,14,0.0,4,4,4,0.0,15,4,2,543.083175168171,F
20,38.5,14.0,4,0,0,20,20.0,0,0,0,32.0,20,4,4,788.3478711240357,C
20,37.5,0.0,4,4,0,17,15.0,4,4,4,23.75,15,4,4,658.7566292337428,D
20,38.75,18.0,4,4,4,20,20.0,4,4,4,38.5,20,4,4,977.7864070207446,A
20,40.0,20.0,4,4,4,20,20.0,4,4,4,36.5,19,4,4,973.3387188387434,A
20,42.0,20.0,4,4,0,20,20.0,4,4,0,26.0,20,4,4,868.9891273058969,B
20,29.0,0.0,4,4,4,19,6.0,4,4,4,36.0,19,4,4,710.1614328189078,C
20,39.0,14.0,4,4,4,17,17.5,4,4,4,24.0,16,4,4,840.8392802539187,B
20,39.5,16.0,4,4,4,18,16.5,4,4,4,29.75,20,4,4,896.8918295247094,B
20,39.5,20.0,4,4,4,17,20.0,4,4,4,27.0,14,2,2,870.6156380174293,B
20,38.625,20.0,4,4,0,18,18.5,4,4,4,29.25,18,4,4,845.7149699832139,B
20,35.25,14.0,4,4,4,19,18.5,4,4,4,30.75,16,4,4,874.8987134787434,B
20,41.0,20.0,4,4,4,17,20.0,4,4,4,20.75,10,0,0,793.0253457958456,C
19,33.0,14.0,4,4,0,17,20.0,0,2,4,24.0,14,2,0,677.4820523739105,D
20,42.0,20.0,4,4,4,20,20.0,4,4,4,37.5,16,4,4,953.6742494465212,A
20,38.375,20.0,4,4,4,20,19.75,0,4,4,33.5,20,4,4,935.2537350479332,A
20,30.5,14.0,4,4,4,17,0.0,4,4,4,0.0,0,0,0,380.2449010257318,F
20,28.5,14.0,4,4,0,14,19.5,4,4,4,32.5,15,4,4,799.3495653478631,C
20,41.0,16.0,4,4,4,19,20.0,4,4,4,31.5,19,4,4,934.277378039136,A
20,42.0,14.0,4,4,4,17,20.0,4,4,4,34.125,20,4,4,941.2403197560104,A
20,40.0,14.0,4,4,0,16,0.0,0,4,4,1.75,4,0,0,323.6594084051932,F
20,16.0,0.0,0,0,0,13,17.0,4,2,4,6.5,17,4,0,576.9612997451437,F
20,37.875,14.0,4,4,4,18,19.75,0,0,0,24.0,20,0,0,794.3742685595244,C
20,42.0,14.0,4,4,4,18,15.5,4,4,4,0.0,15,4,4,725.8667185443751,C
20,40.5,14.0,4,4,4,18,19.5,0,0,0,30.5,13,4,4,803.7104380924785,B
20,35.5,16.0,0,4,4,18,14.5,4,4,4,23.625,16,4,2,830.5502631612933,B
20,39.75,0.0,0,0,0,15,12.5,0,0,0,0.0,0,0,0,339.7028966014033,F
0,2.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,46.655679429179294,F
20,35.0,14.0,4,4,4,16,17.0,4,4,4,28.5,14,4,4,830.8383577738107,B
20,4.5,0.0,0,0,0,17,0.0,2,4,2,0.0,0,0,0,219.83399378838075,F
20,37.25,14.0,4,4,4,20,19.5,4,4,4,35.25,14,4,4,888.1420902863813,B
20,42.0,20.0,4,4,4,19,20.0,4,4,4,35.75,16,4,4,946.236265329278,A
20,40.25,20.0,4,0,0,16,15.0,4,4,4,25.25,20,4,4,798.5227712516584,C
20,38.5,16.0,4,4,4,19,19.5,0,4,4,33.5,19,4,4,902.9101474532112,A
20,41.5,10.0,4,0,4,19,20.0,0,4,4,22.5,16,4,4,802.3757102526619,B
20,25.0,8.0,0,0,0,14,10.5,0,0,0,11.0,15,0,4,556.321714073857,F
20,41.0,16.0,4,4,4,20,18.25,4,4,4,33.75,20,4,4,933.4920310903036,A
20,42.0,16.0,4,4,4,20,20.0,4,4,4,39.0,20,4,4,972.3979564231526,A
20,10.0,0.0,0,0,0,7,0.0,0,0,0,0.0,0,0,0,172.7689129340926,F
20,37.5,8.0,4,4,4,18,20.0,4,2,4,27.5,18,4,4,852.9151516818193,B
20,33.5,14.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,259.4826831588412,F
20,38.25,14.0,4,4,4,18,18.5,4,4,4,24.25,19,4,2,855.6174445974865,B
19,31.5,14.0,4,0,0,0,0.0,0,0,0,0.0,17,0,0,357.91839283141405,F
20,20.5,0.0,0,0,0,0,0.0,0,0,0,11.25,20,0,0,385.77447306998926,F
20,40.125,16.0,4,4,4,19,19.5,4,4,4,33.75,20,4,4,944.9532301514538,A
20,39.5,14.0,4,4,4,19,20.0,4,4,4,36.0,20,4,4,947.7801712209152,A
20,36.0,16.0,4,4,4,17,19.0,4,4,4,31.75,14,4,4,876.1319224924063,B
20,37.75,14.0,4,4,4,18,18.0,0,0,0,30.25,11,4,4,767.5925509838919,C
20,39.75,16.0,4,4,4,20,20.0,4,4,4,28.75,0,0,0,719.8658945723554,C
19,35.125,20.0,4,4,4,17,18.5,0,4,0,3.5,16,0,0,719.0251460056763,C
20,41.0,18.0,4,4,4,18,19.75,4,4,4,26.25,14,4,4,879.4037373234959,B
19,41.25,14.0,4,0,4,18,17.5,4,4,4,27.0,15,0,2,807.0980273528625,B
20,42.0,14.0,4,4,4,19,20.0,4,4,4,32.5,16,4,4,903.4561474212652,A
20,41.0,14.0,4,4,4,20,18.75,4,4,4,24.125,20,4,4,892.7895547094682,B
20,39.5,8.0,4,4,4,20,18.5,0,4,4,10.5,12,4,0,664.6278184196271,D
20,0.0,14.0,4,4,4,19,20.0,0,4,4,31.75,20,4,4,864.4308217368668,B
20,42.0,14.0,4,4,4,18,19.5,0,4,4,28.25,20,4,4,883.863880155207,B
0,29.0,0.0,0,0,0,0,0.0,0,0,0,28.25,0,0,0,176.42631084716191,F
20,29.5,14.0,4,4,4,11,18.5,4,4,4,29.25,19,4,4,881.7481571393968,B
20,37.0,14.0,0,0,0,19,19.5,0,0,0,28.25,20,2,2,781.7101357708434,C
20,39.125,18.0,4,4,2,18,10.5,4,4,4,33.875,18,4,4,805.2566131959893,B
20,5.5,14.0,0,0,0,6,0.0,0,0,0,0.0,17,0,0,382.25290123525934,F
2,41.25,14.0,4,0,0,14,14.0,0,0,0,11.75,11,0,0,425.7693958628943,F
20,40.5,20.0,4,4,4,18,12.0,4,4,4,5.0,13,4,4,719.9797568294056,C
20,15.0,14.0,0,4,3,16,16.75,4,2,4,40.0,16,4,4,875.0191117906961,B
20,25.5,14.0,0,2,3,14,16.0,2,4,2,6.5,19,0,0,721.7586330941836,C
0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,44.81507960215572,F
20,41.0,14.0,3,3,0,10,15.5,0,0,0,0.0,20,0,0,588.7140652245923,F
20,41.0,18.0,4,4,4,19,20.0,4,4,4,40.0,20,4,4,984.4898316805062,A
20,41.5,14.0,4,4,4,17,20.0,4,4,4,31.5,16,4,4,897.4052092081797,B
20,41.0,20.0,4,4,4,20,20.0,4,4,4,40.0,20,4,4,995.6646511251764,A
20,42.0,14.0,4,4,3,20,20.0,4,4,4,35.5,20,4,4,930.8366345596922,A
20,35.25,12.0,4,4,0,10,15.5,0,0,0,0.0,19,4,2,580.5552829998461,F
20,34.375,0.0,4,3,3,0,0.0,0,0,0,0.0,0,0,0,215.4319619505378,F
20,12.5,20.0,4,4,4,17,20.0,4,4,4,33.5,16,2,4,908.9032528593837,A
20,36.5,18.0,4,4,4,15,13.0,0,4,4,16.0,16,2,4,748.721326561065,C
